label,x,y,z,coordinate_frame
PO3,-36.5114,-100.8529,37.167,MNI / fsaverage MRI coordinates
PO1,-18.9724,-101.768,46.536,MNI / fsaverage MRI coordinates
POz,0.2156,-102.178,50.608,MNI / fsaverage MRI coordinates
PO2,19.8776,-101.793,46.393,MNI / fsaverage MRI coordinates
PO4,36.7816,-100.8491,36.397,MNI / fsaverage MRI coordinates
PO6,49.8196,-99.4461,21.727,MNI / fsaverage MRI coordinates
PO8,55.6666,-97.6251,2.73,MNI / fsaverage MRI coordinates
PO10,54.9876,-98.0911,-35.541,MNI / fsaverage MRI coordinates
O1,-29.4134,-112.449,8.839,MNI / fsaverage MRI coordinates
Oz,0.1076,-114.892,14.657,MNI / fsaverage MRI coordinates
O2,29.8426,-112.156,8.8,MNI / fsaverage MRI coordinates
I1,-29.8184,-114.57,-29.216,MNI / fsaverage MRI coordinates
Iz,0.0045,-118.565,-23.078,MNI / fsaverage MRI coordinates
I2,29.7416,-114.26,-29.256,MNI / fsaverage MRI coordinates
AFp9h,-43.2897,75.8552,-28.244,MNI / fsaverage MRI coordinates
AFp7h,-38.5517,79.9532,-4.995,MNI / fsaverage MRI coordinates
AFp5h,-27.9857,82.4591,2.702,MNI / fsaverage MRI coordinates
AFp3h,-17.1947,84.8491,10.027,MNI / fsaverage MRI coordinates
AFp1h,-5.9317,86.878,16.2,MNI / fsaverage MRI coordinates
AFp2h,7.1053,87.074,16.469,MNI / fsaverage MRI coordinates
AFp4h,18.9233,85.5969,11.443,MNI / fsaverage MRI coordinates
AFp6h,28.6443,82.9759,2.828,MNI / fsaverage MRI coordinates
AFp8h,39.3203,80.6868,-4.725,MNI / fsaverage MRI coordinates
AFp10h,43.8223,76.5418,-28.307,MNI / fsaverage MRI coordinates
AFF9h,-63.2538,53.8573,-30.316,MNI / fsaverage MRI coordinates
AFF7h,-61.3508,58.7992,0.897,MNI / fsaverage MRI coordinates
AFF5h,-50.7998,64.0412,23.089,MNI / fsaverage MRI coordinates
AFF3h,-34.3157,68.3931,41.188,MNI / fsaverage MRI coordinates
AFF1h,-11.4357,70.7561,50.348,MNI / fsaverage MRI coordinates
AFF2h,13.4793,71.201,51.175,MNI / fsaverage MRI coordinates
AFF4h,36.1833,69.1509,41.254,MNI / fsaverage MRI coordinates
AFF6h,52.3972,65.0708,22.862,MNI / fsaverage MRI coordinates
AFF8h,62.9152,60.0448,0.63,MNI / fsaverage MRI coordinates
AFF10h,64.3342,54.5998,-30.444,MNI / fsaverage MRI coordinates
FFT9h,-79.0669,28.0813,-31.253,MNI / fsaverage MRI coordinates
FFT7h,-74.4999,31.3003,4.846,MNI / fsaverage MRI coordinates
FFC5h,-65.2379,36.4282,36.144,MNI / fsaverage MRI coordinates
FFC3h,-44.4098,40.7622,61.69,MNI / fsaverage MRI coordinates
FFC1h,-15.4238,43.66,77.682,MNI / fsaverage MRI coordinates
FFC2h,17.5922,44.054,77.788,MNI / fsaverage MRI coordinates
FFC4h,45.8532,41.6228,60.647,MNI / fsaverage MRI coordinates
FFC6h,67.1281,37.7998,35.296,MNI / fsaverage MRI coordinates
FFT8h,78.0531,32.9817,4.483,MNI / fsaverage MRI coordinates
FFT10h,80.0971,28.5137,-31.338,MNI / fsaverage MRI coordinates
FTT9h,-84.125,-1.8467,-29.794,MNI / fsaverage MRI coordinates
FTT7h,-82.355,0.8263,8.579,MNI / fsaverage MRI coordinates
FCC5h,-74.692,4.3033,45.307,MNI / fsaverage MRI coordinates
FCC3h,-51.0509,7.1772,74.377,MNI / fsaverage MRI coordinates
FCC1h,-18.219,9.0941,92.529,MNI / fsaverage MRI coordinates
FCC2h,18.787,9.2479,91.562,MNI / fsaverage MRI coordinates
FCC4h,51.8851,7.7978,73.507,MNI / fsaverage MRI coordinates
FCC6h,77.002,5.3357,45.35,MNI / fsaverage MRI coordinates
FTT8h,83.888,1.9457,8.501,MNI / fsaverage MRI coordinates
FTT10h,84.123,-1.8083,-29.638,MNI / fsaverage MRI coordinates
TTP9h,-86.9731,-32.2157,-27.848,MNI / fsaverage MRI coordinates
TTP7h,-85.5651,-30.6287,11.153,MNI / fsaverage MRI coordinates
CCP5h,-76.4071,-29.7307,49.217,MNI / fsaverage MRI coordinates
CCP3h,-52.9281,-28.9058,80.304,MNI / fsaverage MRI coordinates
CCP1h,-18.3541,-28.3219,98.22,MNI / fsaverage MRI coordinates
CCP2h,20.2199,-28.1481,98.172,MNI / fsaverage MRI coordinates
CCP4h,55.1139,-28.3862,80.474,MNI / fsaverage MRI coordinates
CCP6h,79.0059,-28.9863,49.628,MNI / fsaverage MRI coordinates
TTP8h,85.9999,-29.8203,11.248,MNI / fsaverage MRI coordinates
TTP10h,88.6249,-32.2723,-28.0,MNI / fsaverage MRI coordinates
TPP9h,-78.1602,-60.7567,-23.824,MNI / fsaverage MRI coordinates
TPP7h,-76.6802,-60.8317,12.88,MNI / fsaverage MRI coordinates
CPP5h,-68.1152,-62.9747,47.252,MNI / fsaverage MRI coordinates
CPP3h,-46.9142,-64.6908,75.296,MNI / fsaverage MRI coordinates
CPP1h,-15.8202,-65.5999,91.164,MNI / fsaverage MRI coordinates
CPP2h,19.4198,-65.595,92.405,MNI / fsaverage MRI coordinates
CPP4h,50.6738,-64.4822,76.13,MNI / fsaverage MRI coordinates
CPP6h,71.0958,-62.6243,47.328,MNI / fsaverage MRI coordinates
TPP8h,78.5198,-60.4323,12.902,MNI / fsaverage MRI coordinates
TPP10h,78.9027,-60.9553,-23.805,MNI / fsaverage MRI coordinates
PPO9h,-64.5973,-87.6558,-19.014,MNI / fsaverage MRI coordinates
PPO7h,-62.9593,-87.5028,12.952,MNI / fsaverage MRI coordinates
PPO5h,-54.0103,-89.8988,37.332,MNI / fsaverage MRI coordinates
PPO3h,-35.8874,-91.6669,55.504,MNI / fsaverage MRI coordinates
PPO1h,-12.0474,-92.6069,65.508,MNI / fsaverage MRI coordinates
PPO2h,13.9226,-92.694,66.958,MNI / fsaverage MRI coordinates
PPO4h,37.7986,-91.6291,56.733,MNI / fsaverage MRI coordinates
PPO6h,54.6087,-89.6402,37.035,MNI / fsaverage MRI coordinates
PPO8h,63.1117,-87.2282,12.856,MNI / fsaverage MRI coordinates
PPO10h,65.0137,-87.8062,-18.952,MNI / fsaverage MRI coordinates
POO9h,-42.8624,-108.073,-13.151,MNI / fsaverage MRI coordinates
POO7h,-40.1204,-107.129,12.061,MNI / fsaverage MRI coordinates
POO5h,-31.9514,-108.252,23.047,MNI / fsaverage MRI coordinates
POO3h,-19.8624,-108.942,29.76,MNI / fsaverage MRI coordinates
POO1h,-6.9194,-109.26,32.71,MNI / fsaverage MRI coordinates
POO2h,6.8036,-109.163,31.582,MNI / fsaverage MRI coordinates
POO4h,20.2936,-108.914,28.944,MNI / fsaverage MRI coordinates
POO6h,32.1756,-108.252,22.255,MNI / fsaverage MRI coordinates
POO8h,41.0976,-107.245,12.138,MNI / fsaverage MRI coordinates
POO10h,43.8946,-109.127,-13.17,MNI / fsaverage MRI coordinates
OI1h,-14.8504,-117.987,-6.92,MNI / fsaverage MRI coordinates
OI2h,15.0946,-118.018,-6.933,MNI / fsaverage MRI coordinates
Fp1h,-14.8107,87.2351,-4.477,MNI / fsaverage MRI coordinates
Fp2h,15.1623,88.091,-4.551,MNI / fsaverage MRI coordinates
AF9h,-54.8298,66.4132,-29.704,MNI / fsaverage MRI coordinates
AF7h,-51.1757,70.8362,-1.755,MNI / fsaverage MRI coordinates
AF5h,-39.6407,74.8671,13.678,MNI / fsaverage MRI coordinates
AF3h,-27.2187,78.7091,28.375,MNI / fsaverage MRI coordinates
AF1h,-9.1977,80.6051,35.133,MNI / fsaverage MRI coordinates
AF2h,10.4823,80.865,35.359,MNI / fsaverage MRI coordinates
AF4h,28.5803,79.3029,28.47,MNI / fsaverage MRI coordinates
AF6h,40.9403,75.7399,13.86,MNI / fsaverage MRI coordinates
AF8h,52.0293,71.8468,-1.92,MNI / fsaverage MRI coordinates
AF10h,55.7542,67.1698,-29.824,MNI / fsaverage MRI coordinates
F9h,-71.5079,41.1193,-30.854,MNI / fsaverage MRI coordinates
F7h,-68.5558,45.2843,3.002,MNI / fsaverage MRI coordinates
F5h,-58.4878,50.6722,30.192,MNI / fsaverage MRI coordinates
F3h,-39.9798,55.2601,52.6,MNI / fsaverage MRI coordinates
F1h,-13.3838,57.9021,64.332,MNI / fsaverage MRI coordinates
F2h,15.8342,58.4559,64.992,MNI / fsaverage MRI coordinates
F4h,41.7942,56.2259,51.499,MNI / fsaverage MRI coordinates
F6h,60.0522,52.0858,28.708,MNI / fsaverage MRI coordinates
F8h,71.9592,47.1917,2.475,MNI / fsaverage MRI coordinates
F10h,72.7981,41.8218,-31.026,MNI / fsaverage MRI coordinates
FT9h,-82.9559,13.3203,-30.808,MNI / fsaverage MRI coordinates
FT7h,-80.1139,16.3903,6.85,MNI / fsaverage MRI coordinates
FC5h,-71.2099,20.8203,41.324,MNI / fsaverage MRI coordinates
FC3h,-48.5119,24.5292,69.136,MNI / fsaverage MRI coordinates
FC1h,-17.3439,27.0241,86.923,MNI / fsaverage MRI coordinates
FC2h,18.4181,27.2709,86.437,MNI / fsaverage MRI coordinates
FC4h,49.5481,25.2378,68.43,MNI / fsaverage MRI coordinates
FC6h,73.2191,22.0067,41.297,MNI / fsaverage MRI coordinates
FT8h,81.5801,17.6837,6.564,MNI / fsaverage MRI coordinates
FT10h,83.3711,13.5477,-30.749,MNI / fsaverage MRI coordinates
T9h,-85.1321,-17.0557,-28.731,MNI / fsaverage MRI coordinates
T7h,-82.9461,-14.8827,10.009,MNI / fsaverage MRI coordinates
C5h,-75.2941,-12.6397,47.904,MNI / fsaverage MRI coordinates
C3h,-51.5811,-10.7548,78.035,MNI / fsaverage MRI coordinates
C1h,-18.279,-9.4319,97.356,MNI / fsaverage MRI coordinates
C2h,19.678,-9.3041,95.706,MNI / fsaverage MRI coordinates
C4h,53.8059,-10.1442,77.73,MNI / fsaverage MRI coordinates
C6h,78.1249,-11.7353,47.84,MNI / fsaverage MRI coordinates
T8h,85.1369,-13.9063,9.89,MNI / fsaverage MRI coordinates
T10h,86.0999,-17.0883,-28.756,MNI / fsaverage MRI coordinates
TP9h,-84.8102,-47.2457,-26.22,MNI / fsaverage MRI coordinates
TP7h,-82.7042,-46.2977,11.974,MNI / fsaverage MRI coordinates
CP5h,-73.3012,-46.7917,49.109,MNI / fsaverage MRI coordinates
CP3h,-51.0492,-47.1758,80.016,MNI / fsaverage MRI coordinates
CP1h,-17.3542,-47.3419,97.41,MNI / fsaverage MRI coordinates
CP2h,20.6798,-47.2321,98.072,MNI / fsaverage MRI coordinates
CP4h,53.9968,-46.8902,80.077,MNI / fsaverage MRI coordinates
CP6h,76.5498,-46.3733,49.14,MNI / fsaverage MRI coordinates
TP8h,85.1998,-45.8073,12.102,MNI / fsaverage MRI coordinates
TP10h,85.4428,-47.2213,-26.176,MNI / fsaverage MRI coordinates
P9h,-72.1773,-74.6277,-21.536,MNI / fsaverage MRI coordinates
P7h,-70.1133,-74.8677,12.999,MNI / fsaverage MRI coordinates
P5h,-61.7283,-77.6238,43.028,MNI / fsaverage MRI coordinates
P3h,-41.6733,-79.7528,66.715,MNI / fsaverage MRI coordinates
P1h,-13.9613,-81.0029,81.003,MNI / fsaverage MRI coordinates
P2h,17.2977,-80.981,81.641,MNI / fsaverage MRI coordinates
P4h,44.7477,-79.6111,67.655,MNI / fsaverage MRI coordinates
P6h,63.6267,-77.3022,43.119,MNI / fsaverage MRI coordinates
P8h,72.1037,-74.4993,13.025,MNI / fsaverage MRI coordinates
P10h,73.2817,-75.0773,-21.576,MNI / fsaverage MRI coordinates
PO9h,-54.7754,-98.9768,-16.193,MNI / fsaverage MRI coordinates
PO7h,-51.9284,-98.4438,12.304,MNI / fsaverage MRI coordinates
PO5h,-43.3424,-100.1629,30.009,MNI / fsaverage MRI coordinates
PO3h,-28.0074,-101.361,42.379,MNI / fsaverage MRI coordinates
PO1h,-9.5034,-102.06,49.418,MNI / fsaverage MRI coordinates
PO2h,10.2356,-102.029,48.942,MNI / fsaverage MRI coordinates
PO4h,28.6476,-101.3901,42.138,MNI / fsaverage MRI coordinates
PO6h,44.2206,-100.2191,29.808,MNI / fsaverage MRI coordinates
PO8h,52.8386,-98.536,12.25,MNI / fsaverage MRI coordinates
PO10h,55.8596,-99.894,-16.208,MNI / fsaverage MRI coordinates
O1h,-14.8054,-115.1,11.829,MNI / fsaverage MRI coordinates
O2h,15.1456,-115.191,11.833,MNI / fsaverage MRI coordinates
I1h,-15.1584,-118.242,-26.048,MNI / fsaverage MRI coordinates
I2h,15.1286,-118.151,-26.081,MNI / fsaverage MRI coordinates
AFp9,-36.1247,72.3801,-45.852,MNI / fsaverage MRI coordinates
AFp7,-43.5117,78.5802,-9.24,MNI / fsaverage MRI coordinates
AFp5,-33.2847,81.2071,-1.14,MNI / fsaverage MRI coordinates
AFp3,-22.3517,83.5621,6.071,MNI / fsaverage MRI coordinates
AFp1,-12.2417,86.1941,14.188,MNI / fsaverage MRI coordinates
AFpz,0.1703,87.322,17.442,MNI / fsaverage MRI coordinates
AFp2,13.6223,86.7579,15.302,MNI / fsaverage MRI coordinates
AFp4,24.1013,84.3769,7.433,MNI / fsaverage MRI coordinates
AFp6,33.9133,81.8119,-1.035,MNI / fsaverage MRI coordinates
AFp8,43.9483,79.2958,-9.3,MNI / fsaverage MRI coordinates
AFp10,37.7123,72.1679,-46.197,MNI / fsaverage MRI coordinates
AFF9,-59.3398,52.6802,-48.77,MNI / fsaverage MRI coordinates
AFF7,-63.2618,55.9922,-11.173,MNI / fsaverage MRI coordinates
AFF5,-55.8198,61.3962,11.884,MNI / fsaverage MRI coordinates
AFF3,-43.3817,66.3672,32.811,MNI / fsaverage MRI coordinates
AFF1,-23.5817,69.9171,47.293,MNI / fsaverage MRI coordinates
AFFz,0.2763,71.28,52.092,MNI / fsaverage MRI coordinates
AFF2,25.5583,70.5559,47.827,MNI / fsaverage MRI coordinates
AFF4,45.1522,67.2748,32.731,MNI / fsaverage MRI coordinates
AFF6,58.0002,62.5998,11.9,MNI / fsaverage MRI coordinates
AFF8,64.6732,57.2738,-11.46,MNI / fsaverage MRI coordinates
AFF10,60.6012,52.2668,-49.038,MNI / fsaverage MRI coordinates
FFT9,-78.4839,28.7703,-50.522,MNI / fsaverage MRI coordinates
FFT7,-76.6149,28.6533,-11.508,MNI / fsaverage MRI coordinates
FFC5,-71.5059,33.9263,20.993,MNI / fsaverage MRI coordinates
FFC3,-55.9399,38.7162,49.788,MNI / fsaverage MRI coordinates
FFC1,-30.6548,42.4151,71.04,MNI / fsaverage MRI coordinates
FFCz,0.3512,44.074,79.141,MNI / fsaverage MRI coordinates
FFC2,32.6451,43.1009,70.795,MNI / fsaverage MRI coordinates
FFC4,57.5042,39.8518,48.811,MNI / fsaverage MRI coordinates
FFC6,74.2501,35.4997,20.38,MNI / fsaverage MRI coordinates
FFT8,79.0341,30.3437,-11.997,MNI / fsaverage MRI coordinates
FFT10,79.9201,28.9417,-50.914,MNI / fsaverage MRI coordinates
FTT9,-87.362,-0.5147,-49.837,MNI / fsaverage MRI coordinates
FTT7,-82.668,-0.9417,-10.284,MNI / fsaverage MRI coordinates
FCC5,-80.133,2.5853,27.312,MNI / fsaverage MRI coordinates
FCC3,-64.161,5.8313,60.885,MNI / fsaverage MRI coordinates
FCC1,-35.749,8.3091,85.459,MNI / fsaverage MRI coordinates
FCCz,0.3911,9.508,95.56,MNI / fsaverage MRI coordinates
FCC2,36.07,8.6519,83.832,MNI / fsaverage MRI coordinates
FCC4,65.164,6.6198,60.052,MNI / fsaverage MRI coordinates
FCC6,81.544,3.6637,27.201,MNI / fsaverage MRI coordinates
FTT8,83.168,0.1817,-10.364,MNI / fsaverage MRI coordinates
FTT10,85.393,-0.9523,-49.52,MNI / fsaverage MRI coordinates
TTP9,-86.6321,-31.2377,-47.178,MNI / fsaverage MRI coordinates
TTP7,-85.9331,-31.0927,-8.474,MNI / fsaverage MRI coordinates
CCP5,-81.5431,-30.1727,30.273,MNI / fsaverage MRI coordinates
CCP3,-66.1281,-29.2957,65.898,MNI / fsaverage MRI coordinates
CCP1,-36.9301,-28.5699,91.734,MNI / fsaverage MRI coordinates
CCPz,0.3959,-28.163,101.269,MNI / fsaverage MRI coordinates
CCP2,38.5399,-28.2251,90.976,MNI / fsaverage MRI coordinates
CCP4,68.8539,-28.6403,66.41,MNI / fsaverage MRI coordinates
CCP6,84.5529,-29.3783,30.878,MNI / fsaverage MRI coordinates
TTP8,85.9999,-30.2803,-8.435,MNI / fsaverage MRI coordinates
TTP10,86.7619,-31.7313,-47.253,MNI / fsaverage MRI coordinates
TPP9,-80.7152,-60.6457,-43.594,MNI / fsaverage MRI coordinates
TPP7,-78.5992,-59.7237,-4.758,MNI / fsaverage MRI coordinates
CPP5,-73.6642,-61.9227,30.38,MNI / fsaverage MRI coordinates
CPP3,-59.4112,-63.9248,62.672,MNI / fsaverage MRI coordinates
CPP1,-32.7283,-65.3199,85.944,MNI / fsaverage MRI coordinates
CPPz,0.3658,-65.75,94.058,MNI / fsaverage MRI coordinates
CPP2,35.8918,-65.1381,85.98,MNI / fsaverage MRI coordinates
CPP4,62.2558,-63.6152,62.719,MNI / fsaverage MRI coordinates
CPP6,76.6708,-61.5483,30.543,MNI / fsaverage MRI coordinates
TPP8,79.3188,-59.3033,-4.84,MNI / fsaverage MRI coordinates
TPP10,81.5598,-61.2153,-43.8,MNI / fsaverage MRI coordinates
PPO9,-64.5703,-86.4318,-38.324,MNI / fsaverage MRI coordinates
PPO7,-64.5833,-86.2218,0.033,MNI / fsaverage MRI coordinates
PPO5,-58.7123,-88.7048,25.193,MNI / fsaverage MRI coordinates
PPO3,-46.1603,-90.8878,47.446,MNI / fsaverage MRI coordinates
PPO1,-24.6483,-92.2919,62.076,MNI / fsaverage MRI coordinates
PPOz,0.2727,-92.758,67.342,MNI / fsaverage MRI coordinates
PPO2,26.4367,-92.2951,63.199,MNI / fsaverage MRI coordinates
PPO4,47.1437,-90.7122,47.678,MNI / fsaverage MRI coordinates
PPO6,60.8127,-88.5042,25.662,MNI / fsaverage MRI coordinates
PPO8,65.1517,-85.9432,-0.009,MNI / fsaverage MRI coordinates
PPO10,65.0377,-86.7182,-38.448,MNI / fsaverage MRI coordinates
POO9,-43.1284,-107.516,-32.387,MNI / fsaverage MRI coordinates
POO7,-42.9764,-106.493,5.773,MNI / fsaverage MRI coordinates
POO5,-36.2344,-107.716,17.75,MNI / fsaverage MRI coordinates
POO3,-25.9844,-108.616,26.544,MNI / fsaverage MRI coordinates
POO1,-13.6644,-109.266,32.856,MNI / fsaverage MRI coordinates
POOz,0.1676,-109.276,32.79,MNI / fsaverage MRI coordinates
POO2,13.6506,-109.106,30.936,MNI / fsaverage MRI coordinates
POO4,26.6636,-108.668,26.415,MNI / fsaverage MRI coordinates
POO6,37.7006,-107.84,18.069,MNI / fsaverage MRI coordinates
POO8,43.6696,-106.599,5.726,MNI / fsaverage MRI coordinates
POO10,43.1766,-107.444,-32.463,MNI / fsaverage MRI coordinates
OI1,-29.3914,-114.511,-10.02,MNI / fsaverage MRI coordinates
OIz,0.0525,-119.343,-3.936,MNI / fsaverage MRI coordinates
OI2,29.5526,-113.636,-10.051,MNI / fsaverage MRI coordinates
T3,-84.1611,-16.0187,-9.346,MNI / fsaverage MRI coordinates
T5,-72.4343,-73.4527,-2.487,MNI / fsaverage MRI coordinates
T4,85.0799,-15.0203,-9.49,MNI / fsaverage MRI coordinates
T6,73.0557,-73.0683,-2.54,MNI / fsaverage MRI coordinates
M1,-86.0761,-44.9897,-67.986,MNI / fsaverage MRI coordinates
M2,85.7939,-45.0093,-68.031,MNI / fsaverage MRI coordinates
A1,-86.0761,-24.9897,-67.986,MNI / fsaverage MRI coordinates
A2,85.7939,-25.0093,-68.031,MNI / fsaverage MRI coordinates
